agent,time,x,y,z
9,41,74.0,11.0,43.0
0,42,51.0,11.0,10.0
1,42,48.0,10.0,10.0
2,42,50.0,62.0,50.0
3,42,62.0,50.0,20.0
4,42,52.0,30.0,70.0
5,42,70.0,12.0,40.0
6,42,60.0,60.0,12.0
7,42,43.0,57.0,7.0
8,42,35.0,11.0,67.0
9,42,75.0,11.0,43.0
0,43,52.0,11.0,10.0
1,43,47.0,10.0,10.0
2,43,50.0,63.0,50.0
3,43,63.0,50.0,20.0
4,43,53.0,30.0,70.0
5,43,70.0,13.0,40.0
6,43,60.0,60.0,13.0
7,43,42.0,57.0,7.0
8,43,35.0,12.0,67.0
9,43,76.0,11.0,43.0
0,44,53.0,11.0,10.0
1,44,46.0,10.0,10.0
2,44,50.0,64.0,50.0
3,44,64.0,50.0,20.0
4,44,54.0,30.0,70.0
5,44,70.0,14.0,40.0
6,44,60.0,60.0,14.0
7,44,41.0,57.0,7.0
8,44,35.0,13.0,67.0
9,44,77.0,11.0,43.0
0,45,54.0,11.0,10.0
1,45,45.0,10.0,10.0
2,45,50.0,65.0,50.0
3,45,65.0,50.0,20.0
4,45,55.0,30.0,70.0
5,45,70.0,15.0,40.0
6,45,60.0,60.0,15.0
7,45,40.0,57.0,7.0
8,45,35.0,14.0,67.0
9,45,78.0,11.0,43.0
0,46,55.0,11.0,10.0
1,46,44.0,10.0,10.0
2,46,50.0,66.0,50.0
3,46,66.0,50.0,20.0
4,46,56.0,30.0,70.0
5,46,70.0,16.0,40.0
6,46,60.0,60.0,16.0
7,46,39.0,57.0,7.0
8,46,35.0,15.0,67.0
9,46,79.0,11.0,43.0
0,47,56.0,11.0,10.0
1,47,43.0,10.0,10.0
2,47,50.0,67.0,50.0
3,47,67.0,50.0,20.0
4,47,57.0,30.0,70.0
5,47,70.0,17.0,40.0
6,47,60.0,60.0,17.0
7,47,38.0,57.0,7.0
8,47,35.0,16.0,67.0
9,47,80.0,11.0,43.0
0,48,57.0,11.0,10.0
1,48,42.0,10.0,10.0
2,48,50.0,68.0,50.0
3,48,68.0,50.0,20.0
4,48,58.0,30.0,70.0
5,48,70.0,18.0,40.0
6,48,60.0,60.0,18.0
7,48,37.0,57.0,7.0
8,48,35.0,17.0,67.0
9,48,81.0,11.0,43.0
0,49,58.0,11.0,10.0
1,49,41.0,10.0,10.0
2,49,50.0,69.0,50.0
3,49,69.0,50.0,20.0
4,49,59.0,30.0,70.0
5,49,70.0,19.0,40.0
6,49,60.0,60.0,19.0
7,49,36.0,57.0,7.0
8,49,35.0,18.0,67.0
9,49,82.0,11.0,43.0
0,50,59.0,11.0,10.0
1,50,40.0,10.0,10.0
2,50,50.0,70.0,50.0
3,50,70.0,50.0,20.0
4,50,60.0,30.0,70.0
5,50,70.0,20.0,40.0
6,50,60.0,60.0,20.0
7,50,35.0,57.0,7.0
8,50,35.0,19.0,67.0
9,50,83.0,11.0,43.0
0,51,60.0,11.0,10.0
1,51,39.0,10.0,10.0
2,51,50.0,71.0,50.0
3,51,71.0,50.0,20.0
4,51,61.0,30.0,70.0
5,51,70.0,21.0,40.0
6,51,60.0,60.0,21.0
7,51,34.0,57.0,7.0
8,51,35.0,20.0,67.0
9,51,83.0,12.0,43.0
0,52,61.0,11.0,10.0
1,52,38.0,10.0,10.0
2,52,50.0,72.0,50.0
3,52,72.0,50.0,20.0
4,52,62.0,30.0,70.0
5,52,70.0,22.0,40.0
6,52,60.0,60.0,22.0
7,52,33.0,57.0,7.0
8,52,35.0,21.0,67.0
9,52,83.0,13.0,43.0
0,53,62.0,11.0,10.0
1,53,37.0,10.0,10.0
2,53,50.0,73.0,50.0
3,53,73.0,50.0,20.0
4,53,63.0,30.0,70.0
5,53,70.0,23.0,40.0
6,53,60.0,60.0,23.0
7,53,32.0,57.0,7.0
8,53,35.0,22.0,67.0
9,53,83.0,14.0,43.0
0,54,63.0,11.0,10.0
1,54,36.0,10.0,10.0
2,54,50.0,74.0,50.0
3,54,74.0,50.0,20.0
4,54,64.0,30.0,70.0
