agent,time,x,y,z
2,18.6,10.0,10.0,18.6
3,18.6,0.4,0.0,0.0
0,18.8,17.8,1.0,0.0
1,18.8,18.8,19.0,0.0
2,18.8,10.0,10.0,18.8
3,18.8,0.1999999999999999,0.0,0.0
0,19.0,18.0,1.0,0.0
1,19.0,19.0,19.0,0.0
2,19.0,10.0,10.0,19.0
3,19.0,0.0,0.0,0.0
0,19.2,18.2,1.0,0.0
1,19.2,19.0,18.8,0.0
2,19.2,10.0,10.0,19.0
3,19.2,0.0,0.0,0.2
0,19.4,18.4,1.0,0.0
1,19.4,19.0,18.6,0.0
2,19.4,10.0,10.0,19.0
3,19.4,0.0,0.0,0.4
0,19.6,18.6,1.0,0.0
1,19.6,19.0,18.4,0.0
2,19.6,10.0,10.0,19.0
3,19.6,0.0,0.0,0.6
0,19.8,18.8,1.0,0.0
1,19.8,19.0,18.2,0.0
2,19.8,10.0,10.0,19.0
3,19.8,0.0,0.0,0.8
0,20.0,19.0,1.0,0.0
1,20.0,19.0,18.0,0.0
2,20.0,10.0,10.0,19.0
3,20.0,0.0,0.0,1.0
0,20.2,19.0,1.2,0.0
1,20.2,19.0,17.8,0.0
2,20.2,10.0,10.0,19.0
3,20.2,0.0,0.0,1.2
0,20.4,19.0,1.4,0.0
1,20.4,19.0,17.6,0.0
2,20.4,10.0,10.0,19.0
3,20.4,0.0,0.0,1.4
0,20.6,19.0,1.6,0.0
1,20.6,19.0,17.4,0.0
2,20.6,10.0,10.0,19.0
3,20.6,0.0,0.0,1.6
0,20.8,19.0,1.8,0.0
1,20.8,19.0,17.2,0.0
2,20.8,10.0,10.0,19.0
3,20.8,0.0,0.0,1.8
0,21.0,19.0,2.0,0.0
1,21.0,19.0,17.0,0.0
2,21.0,10.0,10.0,19.0
3,21.0,0.0,0.0,2.0
0,21.2,19.0,2.2,0.0
1,21.2,19.0,16.8,0.0
2,21.2,10.0,10.0,19.0
3,21.2,0.0,0.0,2.2
0,21.4,19.0,2.4,0.0
1,21.4,19.0,16.6,0.0
2,21.4,10.0,10.0,19.0
3,21.4,0.0,0.0,2.4
0,21.6,19.0,2.6,0.0
1,21.6,19.0,16.4,0.0
2,21.6,10.0,10.0,19.0
3,21.6,0.0,0.0,2.6
0,21.8,19.0,2.8,0.0
1,21.8,19.0,16.2,0.0
2,21.8,10.0,10.0,19.0
3,21.8,0.0,0.0,2.8
0,22.0,19.0,3.0,0.0
1,22.0,19.0,16.0,0.0
2,22.0,10.0,10.0,19.0
3,22.0,0.0,0.0,3.0
0,22.2,19.0,3.2,0.0
1,22.2,19.0,15.8,0.0
2,22.2,10.0,10.0,19.0
3,22.2,0.0,0.0,3.2
0,22.4,19.0,3.4,0.0
1,22.4,19.0,15.6,0.0
2,22.4,10.0,10.0,19.0
3,22.4,0.0,0.0,3.4
0,22.6,19.0,3.6,0.0
1,22.6,19.0,15.4,0.0
2,22.6,10.0,10.0,19.0
3,22.6,0.0,0.0,3.6
0,22.8,19.0,3.8,0.0
1,22.8,19.0,15.2,0.0
2,22.8,10.0,10.0,19.0
3,22.8,0.0,0.0,3.8
0,23.0,19.0,4.0,0.0
1,23.0,19.0,15.0,0.0
2,23.0,10.0,10.0,19.0
3,23.0,0.0,0.0,4.0
0,23.2,19.0,4.2,0.0
1,23.2,19.0,14.8,0.0
2,23.2,10.0,10.0,19.0
3,23.2,0.0,0.0,4.2
0,23.4,19.0,4.4,0.0
1,23.4,19.0,14.6,0.0
2,23.4,10.0,10.0,19.0
3,23.4,0.0,0.0,4.4
0,23.6,19.0,4.6,0.0
1,23.6,19.0,14.4,0.0
2,23.6,10.0,10.0,19.0
3,23.6,0.0,0.0,4.6
0,23.8,19.0,4.8,0.0
1,23.8,19.0,14.2,0.0
2,23.8,10.0,10.0,19.0
3,23.8,0.0,0.0,4.8
0,24.0,19.0,5.0,0.0
1,24.0,19.0,14.0,0.0
2,24.0,10.0,10.0,19.0
3,24.0,0.0,0.0,5.0
0,24.2,19.0,5.2,0.0
1,24.2,19.0,13.8,0.0
2,24.2,10.0,10.0,19.0
3,24.2,0.0,0.0,5.2
0,24.4,19.0,5.4,0.0
1,24.4,19.0,13.6,0.0
2,24.4,10.0,10.0,19.0
3,24.4,0.0,0.0,5.4
0,24.6,19.0,5.6,0.0
1,24.6,19.0,13.4,0.0
2,24.6,10.0,10.0,19.0
3,24.6,0.0,0.0,5.6
0,24.8,19.0,5.8,0.0
1,24.8,19.0,13.2,0.0
2,24.8,10.0,10.0,19.0
3,24.8,0.0,0.0,5.8
0,25.0,19.0,6.0,0.0
1,25.0,19.0,13.0,0.0
2,25.0,10.0,10.0,19.0
3,25.0,0.0,0.0,6.0
0,25.2,19.0,6.2,0.0
1,25.2,19.0,12.8,0.0
2,25.2,10.0,10.0,19.0
3,25.2,0.0,0.0,6.2
0,25.4,19.0,6.4,0.0
1,25.4,19.0,12.6,0.0
2,25.4,10.0,10.0,19.0
3,25.4,0.0,0.0,6.4
0,25.6,19.0,6.6,0.0
1,25.6,19.0,12.4,0.0
2,25.6,10.0,10.0,19.0
3,25.6,0.0,0.0,6.6
0,25.8,19.0,6.8,0.0
1,25.8,19.0,12.2,0.0
2,25.8,10.0,10.0,19.0
3,25.8,0.0,0.0,6.8
0,26.0,19.0,7.0,0.0
1,26.0,19.0,12.0,0.0
2,26.0,10.0,10.0,19.0
3,26.0,0.0,0.0,7.0
0,26.2,19.0,7.2,0.0
1,26.2,19.0,11.8,0.0
2,26.2,10.0,10.0,19.0
3,26.2,0.0,0.0,7.2
0,26.4,19.0,7.4,0.0
1,26.4,19.0,11.6,0.0
2,26.4,10.0,10.0,19.0
3,26.4,0.0,0.0,7.4
0,26.6,19.0,7.6,0.0
1,26.6,19.0,11.4,0.0
2,26.6,10.0,10.0,19.0
3,26.6,0.0,0.0,7.6
0,26.8,19.0,7.8,0.0
1,26.8,19.0,11.2,0.0
2,26.8,10.0,10.0,19.0
3,26.8,0.0,0.0,7.8
0,27.0,19.0,8.0,0.0
1,27.0,19.0,11.0,0.0
2,27.0,10.0,10.0,19.0
3,27.0,0.0,0.0,8.0
0,27.2,19.0,8.2,0.0
1,27.2,19.0,10.8,0.0
2,27.2,10.0,10.0,19.0
3,27.2,0.0,0.0,8.2
0,27.4,19.0,8.4,0.0
1,27.4,19.0,10.6,0.0
2,27.4,10.0,10.0,19.0
3,27.4,0.0,0.0,8.4
0,27.6,19.0,8.6,0.0
1,27.6,19.0,10.4,0.0
2,27.6,10.0,10.0,19.0
3,27.6,0.0,0.0,8.6
0,27.8,19.0,8.8,0.0
1,27.8,19.0,10.2,0.0
2,27.8,10.0,10.0,19.0
3,27.8,0.0,0.0,8.8
0,28.0,19.0,9.0,0.0
1,28.0,19.0,10.0,0.0
2,28.0,10.0,10.0,19.0
3,28.0,0.0,0.0,9.0
0,28.2,19.0,8.908957249956401,0.22276068751089984
1,28.2,19.0,9.8910427500436,-0.02276068751089983
2,28.2,10.0,10.0,19.0
3,28.2,0.0,0.0,9.2
0,28.4,19.0,8.900384911698646,0.4664100588675688
1,28.4,19.0,9.699615088301353,-0.0664100588675688
2,28.4,10.0,10.0,19.0
3,28.4,0.0,0.0,9.4
0,28.6,19.0,8.933589941132432,0.699615088301353
1,28.6,19.0,9.466410058867568,-0.09961508830135304
2,28.6,10.0,10.0,19.0
3,28.6,0.0,0.0,9.6
0,28.8,19.0,8.9772393124891,0.8910427500435997
1,28.8,19.0,9.222760687510899,-0.09104275004359962
2,28.8,10.0,10.0,19.0
3,28.8,0.0,0.0,9.8
0,29.0,19.0,9.0,1.0
1,29.0,19.0,9.0,0.0
2,29.0,10.0,10.0,19.0
3,29.0,0.0,0.0,10.0
0,29.2,19.0,9.2,1.0
1,29.2,19.0,8.8,0.0
2,29.2,10.0,10.0,19.0
3,29.2,0.0,0.0,10.2
0,29.4,19.0,9.4,1.0
1,29.4,19.0,8.6,0.0
2,29.4,10.0,10.0,19.0
3,29.4,0.0,0.0,10.4
0,29.6,19.0,9.6,1.0
