agent,time,x,y,z,collision_risk,attractive_magnitude,repulsive_magnitude,total_magnitude,displacement_magnitude
8,13.4,64.24763375464524,4.535401091036551,66.77903743181021,0.0,1.94623688459459,0.0,1.94623688459459,0.5838710653783743
9,13.4,38.61839332752318,16.581401875269236,42.43377082424805,0.0,1.6638102075853198,0.0,1.6638102075853198,0.49914306227559874
0,13.6,15.5981939342839,14.000903032858051,14.000903032858051,0.0,1.6996788767597764,0.0,1.6996788767597764,0.5099036630279321
1,13.6,84.4018060657161,14.00090303285805,14.00090303285805,0.0,1.699678876759777,0.0,1.699678876759777,0.5099036630279292
2,13.6,50.0,33.6,50.0,0.0,4.973799150320701e-15,0.0,4.973799150320701e-15,0.0
3,13.6,27.598645450712922,50.0,26.001354549287075,0.0,1.4719650855497655,0.0,1.4719650855497655,0.4415895256649292
4,13.6,19.599096967141946,34.00090303285805,65.99909696714195,0.0,1.2018544595963798,0.0,1.2018544595963798,0.36055633787891717
5,13.6,33.88352120591616,14.572460608980629,41.14311515224516,0.0,1.872954900489706,0.0,1.872954900489706,0.5618864701469123
6,13.6,42.264108073568856,40.666817172143006,12.667268688572035,0.0,2.0230225083143525,0.0,2.0230225083143525,0.6069067524943054
7,13.6,77.25732204010419,53.15913308845627,11.609040293852475,0.0,1.4541942318561354,0.0,1.4541942318561354,0.43625826955683866
8,13.6,64.2066431082141,4.588197971080167,66.77573762680748,0.0,1.975232718987779,0.0,1.975232718987779,0.5925698156963279
9,13.6,38.70218457398882,16.664753268136913,42.42531488584118,0.0,1.6885983336468022,0.0,1.6885983336468022,0.5065795000940418
0,13.8,15.680455058561634,14.059772470719185,14.059772470719185,0.0,1.7246296619297385,0.0,1.7246296619297385,0.5173888985789217
1,13.8,84.31954494143838,14.059772470719183,14.059772470719183,0.0,1.724629661929723,0.0,1.724629661929723,0.5173888985789202
2,13.8,50.0,33.8,50.0,0.0,0.0,0.0,0.0,0.0
3,13.8,27.71034129392122,50.0,26.089658706078776,0.0,1.4935730993513172,0.0,1.4935730993513172,0.4480719298053966
4,13.8,19.740227529280816,34.05977247071918,65.94022752928082,0.0,1.2194973289859863,0.0,1.2194973289859863,0.3658491986957985
5,13.8,33.94055257111055,14.639739966536208,41.15993499163405,0.0,1.9004493266393196,0.0,1.9004493266393196,0.5701347979917955
6,13.8,42.29731133296231,40.676628745119864,12.706514980479456,0.0,2.052719882735536,0.0,2.052719882735536,0.6158159648206605
7,13.8,77.14350689713288,53.10261842810958,11.676857886268502,0.0,1.4755413747609198,0.0,1.4755413747609198,0.44266241242827653
8,13.8,64.16565246178297,4.640994851123783,66.77243782180476,0.0,2.004228553380969,0.0,2.004228553380969,0.6012685660142957
9,13.8,38.78597582045447,16.74810466100459,42.41685894743432,0.0,1.7133864597082944,0.0,1.7133864597082944,0.5140159379124866
0,14.0,15.762716182839364,14.118641908580319,14.118641908580319,0.0,1.7495804470996867,0.0,1.7495804470996867,0.5248741341299069
1,14.0,84.23728381716063,14.118641908580319,14.118641908580319,0.0,1.7495804470996796,0.0,1.7495804470996796,0.5248741341299011
2,14.0,50.0,34.0,50.0,0.0,0.0,0.0,0.0,0.0
3,14.0,27.822037137129524,50.0,26.177962862870476,0.0,1.5151811131528647,0.0,1.5151811131528647,0.45455433394585903
4,14.0,19.88135809141968,34.118641908580315,65.88135809141968,0.0,1.2371401983755785,0.0,1.2371401983755785,0.37114205951267165
5,14.0,33.99758393630494,14.70701932409179,41.176754831022954,0.0,1.927943752788935,0.0,1.927943752788935,0.5783831258366801
6,14.0,42.33051459235576,40.68644031809672,12.745761272386877,0.0,2.082417257156732,0.0,2.082417257156732,0.6247251771470228
7,14.0,77.02969175416158,53.046103767762894,11.74467547868453,0.0,1.4968885176657167,0.0,1.4968885176657167,0.44906655529971334
8,14.0,64.12466181535181,4.6937917311674004,66.76913801680203,0.0,2.0332243877741574,0.0,2.0332243877741574,0.6099673163322425
9,14.0,38.86976706692011,16.83145605387227,42.40840300902745,0.0,1.7381745857697823,0.0,1.7381745857697823,0.5214523757309351
0,14.2,15.8449773071171,14.177511346441452,14.177511346441452,0.0,1.7745312322696454,0.0,1.7745312322696454,0.5323593696808937
1,14.2,84.1550226928829,14.177511346441454,14.177511346441454,0.0,1.7745312322696578,0.0,1.7745312322696578,0.5323593696808951
2,14.2,50.0,34.2,50.0,0.0,0.0,0.0,0.0,0.0
3,14.2,27.933732980337826,50.0,26.266267019662177,0.0,1.5367891269544203,0.0,1.5367891269544203,0.46103673808632645
4,14.2,20.022488653558547,34.17751134644145,65.82248865355855,0.0,1.2547830677651899,0.0,1.2547830677651899,0.37643492032955705
5,14.2,34.05461530149933,14.774298681647371,41.19357467041185,0.0,1.955438178938549,0.0,1.955438178938549,0.5866314536815633
6,14.2,42.36371785174922,40.69625189107357,12.7850075642943,0.0,2.112114631577932,0.0,2.112114631577932,0.6336343894733779
7,14.2,76.91587661119027,52.9895891074162,11.812493071100555,0.0,1.5182356605704852,0.0,1.5182356605704852,0.45547069817114255
8,14.2,64.08367116892067,4.746588611211018,66.7658382117993,0.0,2.062220222167353,0.0,2.062220222167353,0.6186660666502032
9,14.2,38.953558313385756,16.914807446739946,42.399947070620584,0.0,1.7629627118312667,0.0,1.7629627118312667,0.5288888135493782
0,14.4,15.927238431394832,14.236380784302586,14.236380784302586,0.0,1.7994820174396002,0.0,1.7994820174396002,0.5398446052318804
1,14.4,84.07276156860517,14.236380784302586,14.236380784302586,0.0,1.7994820174396042,0.0,1.7994820174396042,0.5398446052318862
2,14.4,50.0,34.4,50.0,0.0,4.973799150320701e-15,0.0,4.973799150320701e-15,0.0
3,14.4,28.04542882354613,50.0,26.354571176453877,0.0,1.558397140755968,0.0,1.558397140755968,0.46751914222678886
4,14.4,20.163619215697413,34.23638078430258,65.76361921569742,0.0,1.2724259371548015,0.0,1.2724259371548015,0.38172778114644246
5,14.4,34.11164666669372,14.84157803920295,41.21039450980074,0.0,1.9829326050881646,0.0,1.9829326050881646,0.5948797815264465
6,14.4,42.396921111142674,40.70606346405043,12.824253856201722,0.0,2.1418120059991312,0.0,2.1418120059991312,0.64254360179974
7,14.4,76.80206146821898,52.933074447069515,11.880310663516578,0.0,1.5395828034752674,0.0,1.5395828034752674,0.4618748410425794
8,14.4,64.04268052248953,4.799385491254634,66.7625384067966,0.0,2.091216056560542,0.0,2.091216056560542,0.6273648169681572
9,14.4,39.03734955985139,16.998158839607626,42.391491132213716,0.0,1.7877508378927554,0.0,1.7877508378927554,0.536325251367829
0,14.6,16.009499555672562,14.295250222163716,14.295250222163716,0.0,1.824432802609556,0.0,1.824432802609556,0.5473298407828672
1,14.6,83.99050044432744,14.295250222163718,14.295250222163718,0.0,1.8244328026095424,0.0,1.8244328026095424,0.5473298407828672
2,14.6,50.0,34.6,50.0,0.0,4.973799150320701e-15,0.0,4.973799150320701e-15,0.0
3,14.6,28.157124666754427,50.0,26.442875333245578,0.0,1.5800051545575142,0.0,1.5800051545575142,0.4740015463672538
4,14.6,20.30474977783628,34.295250222163716,65.70474977783627,0.0,1.2900688065443968,0.0,1.2900688065443968,0.3870206419633238
5,14.6,34.168678031888106,14.908857396758533,41.22721434918964,0.0,2.0104270312377786,0.0,2.0104270312377786,0.6031281093713368
6,14.6,42.43012437053613,40.71587503702729,12.863500148109143,0.0,2.171509380420332,0.0,2.171509380420332,0.6514528141261023
