agent,time,x,y,z,original_x,original_y,original_z,distance,threshold,applied_force
3,5.8,13.2,0.0,0.0,13.2,0.0,0.0,7.3999999999999995,-3.1999999999999997,0.0
0,6.0,6.0,0.0,0.0,6.0,0.0,0.0,19.0,-9.0,0.0
1,6.0,6.0,19.0,0.0,6.0,19.0,0.0,19.0,-9.0,0.0
2,6.0,10.0,10.0,6.0,10.0,10.0,6.0,12.328828005937952,-5.664414002968976,0.0
3,6.0,13.0,0.0,0.0,13.0,0.0,0.0,7.0,-3.0,0.0
0,6.2,6.2,0.0,0.0,6.2,0.0,0.0,19.0,-9.0,0.0
1,6.2,6.2,19.0,0.0,6.2,19.0,0.0,19.0,-9.0,0.0
2,6.2,10.0,10.0,6.2,10.0,10.0,6.2,12.364465212858985,-5.682232606429492,0.0
3,6.2,12.8,0.0,0.0,12.8,0.0,0.0,6.6000000000000005,-2.8000000000000003,0.0
0,6.4,6.4,0.0,0.0,6.4,0.0,0.0,19.0,-9.0,0.0
1,6.4,6.4,19.0,0.0,6.4,19.0,0.0,19.0,-9.0,0.0
2,6.4,10.0,10.0,6.4,10.0,10.0,6.4,12.406449935416658,-5.703224967708329,0.0
3,6.4,12.6,0.0,0.0,12.6,0.0,0.0,6.199999999999999,-2.5999999999999996,0.0
0,6.6,6.6,0.0,0.0,6.6,0.0,0.0,19.0,-9.0,0.0
1,6.6,6.6,19.0,0.0,6.6,19.0,0.0,19.0,-9.0,0.0
2,6.6,10.0,10.0,6.6,10.0,10.0,6.6,12.454717981552212,-5.727358990776106,0.0
3,6.6,12.4,0.0,0.0,12.4,0.0,0.0,5.800000000000001,-2.4000000000000004,0.0
0,6.8,6.8,0.0,0.0,6.8,0.0,0.0,19.0,-9.0,0.0
1,6.8,6.8,19.0,0.0,6.8,19.0,0.0,19.0,-9.0,0.0
2,6.8,10.0,10.0,6.8,10.0,10.0,6.8,12.509196616889513,-5.7545983084447565,0.0
3,6.8,12.2,0.0,0.0,12.2,0.0,0.0,5.3999999999999995,-2.1999999999999997,0.0
0,7.0,7.0,0.0,0.0,7.0,0.0,0.0,19.0,-9.0,0.0
1,7.0,7.0,19.0,0.0,7.0,19.0,0.0,19.0,-9.0,0.0
2,7.0,10.0,10.0,7.0,10.0,10.0,7.0,12.569805089976535,-5.784902544988268,0.0
3,7.0,12.0,0.0,0.0,12.0,0.0,0.0,5.0,-2.0,0.0
0,7.2,7.2,0.0,0.0,7.2,0.0,0.0,19.0,-9.0,0.0
1,7.2,7.2,19.0,0.0,7.2,19.0,0.0,19.0,-9.0,0.0
2,7.2,10.0,10.0,7.2,10.0,10.0,7.2,12.636455199145052,-5.818227599572526,0.0
3,7.2,11.8,0.0,0.0,11.8,0.0,0.0,4.6000000000000005,-1.8000000000000003,0.0
0,7.4,7.4,0.0,0.0,7.4,0.0,0.0,19.0,-9.0,0.0
1,7.4,7.4,19.0,0.0,7.4,19.0,0.0,19.0,-9.0,0.0
2,7.4,10.0,10.0,7.4,10.0,10.0,7.4,12.709051892253804,-5.854525946126902,0.0
3,7.4,11.6,0.0,0.0,11.6,0.0,0.0,4.199999999999999,-1.5999999999999996,0.0
0,7.6,7.6,0.0,0.0,7.6,0.0,0.0,19.0,-9.0,0.0
1,7.6,7.6,19.0,0.0,7.6,19.0,0.0,19.0,-9.0,0.0
2,7.6,10.0,10.0,7.6,10.0,10.0,7.6,12.787493890516625,-5.893746945258313,0.0
3,7.6,11.4,0.0,0.0,11.4,0.0,0.0,3.8000000000000007,-1.4000000000000004,0.0
0,7.8,7.8,0.0,0.0,7.8,0.0,0.0,19.0,-9.0,0.0
1,7.8,7.8,19.0,0.0,7.8,19.0,0.0,19.0,-9.0,0.0
2,7.8,10.0,10.0,7.8,10.0,10.0,7.8,12.87167432776327,-5.935837163881635,0.0
3,7.8,11.2,0.0,0.0,11.2,0.0,0.0,3.3999999999999995,-1.1999999999999997,0.0
0,8.0,8.0,0.0,0.0,8.0,0.0,0.0,19.0,-9.0,0.0
1,8.0,8.0,19.0,0.0,8.0,19.0,0.0,19.0,-9.0,0.0
2,8.0,10.0,10.0,8.0,10.0,10.0,8.0,12.96148139681572,-5.98074069840786,0.0
3,8.0,11.0,0.0,0.0,11.0,0.0,0.0,3.0,-1.0,0.0
0,8.2,8.2,0.0,0.0,8.2,0.0,0.0,19.0,-9.0,0.0
1,8.2,8.2,19.0,0.0,8.2,19.0,0.0,19.0,-9.0,0.0
2,8.2,10.0,10.0,8.2,10.0,10.0,8.2,13.056798995159573,-6.0283994975797865,0.0
3,8.2,10.8,0.0,0.0,10.8,0.0,0.0,2.6000000000000014,-0.8000000000000007,0.0
0,8.4,8.4,0.0,0.0,8.4,0.0,0.0,19.0,-9.0,0.0
1,8.4,8.4,19.0,0.0,8.4,19.0,0.0,19.0,-9.0,0.0
2,8.4,10.0,10.0,8.4,10.0,10.0,8.4,13.157507362718821,-6.0787536813594105,0.0
3,8.4,10.6,0.0,0.0,10.6,0.0,0.0,2.1999999999999993,-0.5999999999999996,0.0
0,8.6,8.6,0.0,0.0,8.6,0.0,0.0,19.0,-9.0,0.0
1,8.6,8.6,19.0,0.0,8.6,19.0,0.0,19.0,-9.0,0.0
2,8.6,10.0,10.0,8.6,10.0,10.0,8.6,13.263483705271403,-6.1317418526357015,0.0
3,8.6,10.4,0.0,0.0,10.4,0.0,0.0,1.8000000000000007,-0.40000000000000036,0.0
0,8.8,8.8,0.0,0.0,8.8,0.0,0.0,19.0,-9.0,0.0
1,8.8,8.8,19.0,0.0,8.8,19.0,0.0,19.0,-9.0,0.0
2,8.8,10.0,10.0,8.8,10.0,10.0,8.8,13.37460279784039,-6.187301398920195,0.0
3,8.8,10.2,0.0,0.0,10.2,0.0,0.0,1.3999999999999986,-0.1999999999999993,0.0
